day	S
2026	3.006380802
2027	3.007964953
2028	3.007857586
2029	3.007089947
2030	3.005256094
2031	3.004599877
2032	3.006655624
2033	3.009890529
2034	3.011203901
2035	3.01162611
2036	3.011636283
2037	3.011807705
2038	3.012256278
2039	3.014037145
2040	3.015083614
2041	3.018484041
2042	3.020865872
2043	3.022484147
2044	3.021882622
2045	3.022648433
2046	3.024272425
2047	3.023721551
2048	3.023953974
2049	3.022348034
2050	3.021372617
2051	3.022107909
2052	3.021880902
2053	3.020450002
2054	3.021867745
2055	3.024356884
2056	3.025437951
2057	3.025811417
2058	3.026402457
2059	3.0240515
2060	3.024929534
2061	3.024205783
2062	3.022049496
2063	3.020096013
2064	3.019249765
2065	3.019265111
2066	3.020825581
2067	3.019973167
2068	3.019608087
2069	3.018965794
2070	3.018387749
2071	3.017206074
2072	3.013685183
2073	3.012908728
2074	3.016493018
2075	3.017622124
2076	3.01993627
2077	3.023891836
2078	3.026185291
2079	3.027339224
2080	3.028120357
2081	3.02866473
2082	3.030223841
2083	3.031971546
2084	3.032932678
2085	3.031469613
2086	3.029607065
2087	3.027698891
2088	3.026470477
2089	3.024624296
2090	3.0224174
2091	3.021801054
2092	3.02057988
2093	3.020896631
2094	3.018381425
2095	3.017433243
2096	3.016559678
2097	3.015483031
2098	3.015431893
2099	3.015956269
2100	3.017303558
2101	3.018223588
2102	3.019609202
2103	3.021670207
2104	3.023819004
2105	3.024346594
2106	3.023199417
2107	3.022549687
2108	3.022323975
2109	3.024786898
2110	3.026024917
2111	3.027347906
2112	3.02568596
2113	3.023547802
2114	3.020197118
2115	3.017318819
2116	3.017221329
2117	3.017533287
2118	3.015772062
2119	3.013555862
2120	3.013482816
2121	3.011653884
2122	3.007801676
2123	3.00745107
2124	3.008002876
2125	3.007411309
2126	3.005199008
2127	3.002468309
2128	3.001198156
2129	3.002506752
2130	3.003957296
2131	3.005535542
2132	3.006134322
2133	3.006393389
2134	3.006995875
2135	3.007055786
2136	3.00695582
2137	3.0081008
2138	3.010937077
2139	3.013990587
2140	3.017093865
2141	3.017489939
2142	3.015721278
2143	3.016584354
2144	3.018413572
2145	3.023299574
2146	3.028074567
2147	3.031206419
2148	3.035893648
2149	3.041430999
2150	3.047585162
2151	3.055186652
2152	3.059408533
2153	3.059834801
2154	3.059637657
2155	3.059544436
2156	3.062368676
2157	3.066037911
2158	3.067214126
2159	3.066691868
2160	3.067701923
2161	3.067105312
2162	3.068609395
2163	3.073305712
2164	3.078759673
2165	3.081032811
2166	3.084736686
2167	3.08739288
2168	3.088812188
2169	3.091990336
2170	3.093369419
2171	3.096859429
2172	3.100572754
2173	3.104141057
2174	3.107911662
2175	3.109471368
2176	3.111986016
2177	3.116228212
2178	3.118886567
2179	3.119042873
2180	3.119704861
2181	3.121897023
2182	3.123658034
2183	3.12489629
2184	3.124335355
2185	3.121661607
2186	3.122863184
2187	3.125774067
2188	3.127550749
2189	3.128589538
2190	3.128826912
2191	3.130174204
2192	3.130354929
2193	3.131791803
2194	3.130265326
2195	3.130926855
2196	3.132426288
2197	3.132687328
2198	3.132681351
2199	3.135620058
2200	3.138121959
2201	3.139422807
2202	3.141272152
2203	3.142663903
2204	3.14346847
2205	3.145592908
2206	3.147037813
2207	3.150208916
2208	3.152045609
2209	3.153604262
2210	3.156457479
2211	3.160277982
2212	3.163785674
2213	3.166750114
2214	3.167569271
2215	3.167668459
2216	3.167149164
2217	3.168204978
2218	3.174459615
2219	3.178928362
2220	3.178793404
2221	3.180757528
2222	3.184360948
2223	3.188014686
2224	3.193025802
2225	3.194362513
2226	3.194271163
2227	3.198394577
2228	3.200732471
2229	3.199075386
2230	3.197642497
2231	3.19572117
2232	3.190336165
2233	3.184637268
2234	3.180006897
2235	3.175690744
2236	3.170624719
2237	3.163477084
2238	3.159396156
2239	3.156578207
2240	3.156926345
2241	3.158909964
2242	3.158828081
2243	3.158856384
2244	3.158279947
2245	3.152543348
2246	3.147401806
2247	3.137633566
2248	3.130243811
2249	3.125272753
2250	3.120974987
2251	3.114280201
2252	3.108940139
2253	3.108942749
2254	3.10355452
2255	3.102215634
2256	3.102304461
2257	3.101827211
2258	3.100063294
2259	3.099125425
2260	3.099285078
2261	3.09894785
2262	3.099661235
2263	3.099490649
2264	3.095986774
2265	3.0937549
2266	3.092902893
2267	3.093172835
2268	3.091687993
2269	3.091553544
2270	3.09138333
2271	3.08870414
2272	3.085728082
2273	3.084769765
2274	3.086604064
2275	3.087495332
2276	3.090556434
2277	3.089433129
2278	3.086846623
2279	3.085294787
2280	3.083813991
2281	3.081300861
2282	3.078312925
2283	3.076589731
2284	3.077156872
2285	3.079485409
2286	3.083471214
2287	3.082740583
2288	3.081950359
2289	3.084776828
2290	3.091333443
2291	3.098031526
2292	3.100146111
2293	3.09759325
2294	3.095212607
2295	3.092101682
2296	3.088054799
2297	3.087397426
2298	3.085125724
2299	3.08194655
2300	3.076253693
2301	3.071891877
2302	3.068156049
2303	3.066292303
2304	3.064670134
2305	3.065911879
2306	3.064144936
2307	3.059973153
2308	3.055020127
2309	3.048205515
2310	3.040981733
2311	3.032402981
2312	3.025663034
